SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
  164       32508.000       0.000            -nan        -nan             164            -nan
   58        -388.062     871.654            -nan        -nan              58            -nan
  185       -1402.338   -1035.665            -nan        -nan             185            -nan
  201         857.675   -1142.176            -nan        -nan             201            -nan
  233        1338.536     160.703            -nan        -nan             233            -nan
   66        1829.157    -235.229            -nan        -nan              66            -nan
   93        -434.573    -607.688            -nan        -nan              93            -nan
  109        -743.337   -1083.932            -nan        -nan             109            -nan
  153         -46.654     718.718           0.000      -0.000             153            -nan
  200        -763.012     160.793            -nan        -nan             200               0
   57         374.118     230.756            -nan        -nan              57            -nan
  113         566.517     660.288       -3504.080   -5921.938             113            -nan
  163         886.223     150.571        3687.512   -2396.983             163               0
  100        -491.578     449.686         -83.149       0.000             100               0
  150         691.361    -629.725            -nan        -nan             150               0
  235        1221.218     -27.376            -nan        -nan             235            -nan
   71        -830.392     180.081            -nan        -nan              71            -nan
  235          63.874     625.317     -304854060850104909311224385471569580799332494188497236369050973015295143396050254276073635226219883822530516463061109206935754444482262987670598203037314787283552783881483988447903966906862636317325353083942465448004157011075167827479889711562992243978924204274279705153039988602102545483992495334359040.000 29532596493198199841820628790321597610205031878176457073500762265088500302956324189992073345392417290054973509048884648189807010289868083410057746294159584240884267713891795425806251216568431584753877051521404992127836664126610023610719006921618542209189363332457582724731908295061308550385612466683904.000             235            -nan
   53        -574.929     116.194            -nan        -nan              53               0
  243         458.075   -1362.275          23.935     -11.955             243            -nan
  100        -139.883     530.028     -29680244476962599353798882699696099123530433505147682796408870897661847563979061288922260978149202747810651742087340758513005595389015623322054428968768883250256413961040224892163058480157365516131716052583835303422928889275807932258298561403615013112475392825320684796172196758803605094400.000 -71654531540065393575560901402531653024925657064213791536455032993958979587971287174841508576492610920582920518012518180906533174226922780068378774341181396246881626012217682910010383229771116623392376521450797082214476654062210237046350630861723944924505616465161778630561701074748177383424.000             100               0
  178         177.762     298.274           0.000       0.000             178            -960
  136         313.981     283.676            -nan        -nan             136               0
  161       -1155.802     -36.930     -9846526503540559970905025283741184372292516446046893308491906768188973022255312660185879512870077467639170042399883052860182500067741156266575248940520552827599359066837255599674851327660099752302398907016602976256.000       0.000             161            -nan
   68        -886.877     911.312           0.000       0.000              68            -465473375573250729951207357953432918574687578468514779609188033253849386865847485142663168
  121        -928.258    -222.065        -109.956      -0.000             121              -0
   47         182.178   -1057.895          -4.068     -34.936              47              -0
   10         704.227    1441.280        -711.040     569.659              10               0
  148       -1055.057    -234.023           0.000       0.000             148              -0
  216        -857.992   -1040.696            -nan        -nan             216              -0
   71       -1277.381   -1109.301            -nan        -nan              71            -nan
   57        -394.196    -344.419            -nan        -nan              57            -nan
   19       -1001.166    -329.941           0.000      -0.000              19            -nan
    1         367.626     266.382            -nan        -nan               1              -0
    2        -818.462   -1345.429           5.833      -0.000               2            -nan
  252        2910.939    -154.375           0.000      -0.000             252               0
   67        -637.489    -195.963           0.000      -0.000              67              -0
   95        -628.303     107.495            -nan        -nan              95              -0
  106         259.968    -336.574           0.000      -0.000             106            -nan
  220        -554.587    -904.822           0.000      -0.000             220              -0
   40       -1165.963    -600.475          -0.000      -0.000              40              -0
  163       -1322.781     337.140          -0.000      -0.000             163              -0
   78       -1847.905     792.324        -219.911      -0.000              78              -0
  204        1501.089   -1427.780          -0.000      -0.000             204              -0
    8         461.941   -1259.471          35.000      -0.000               8              -0
  228        -922.764      88.412            -nan        -nan             228               0
  183         173.239    -715.887            -nan        -nan             183            -nan
   80        -283.653     448.112            -nan        -nan              80            -nan
  208          16.263   -1257.697     -122642.798 -207267.832             208            -nan
  236         206.392     205.719            -nan        -nan             236             -14
   68        -213.589    1615.218         837.742    -418.415              68            -nan
   52        -536.554    -154.593     -344628427623919602569725184728799683216651943825732773015648218299113539104191473343068551248707285791988975513938931520823616304951937399489673144358947804807814514331084294484012472214595376554158878502462204936192.000      -0.000              52               0
  158         479.359    1630.287      -24601.106   19198.886             158            -38613829425649256821530492726079928250677042495548260631983654180742309692582945155643498503832093833126446384225826812940321472316768113053710519180150342984273942398992192522155192133902960935381219978566959104
  204        1274.230   -1285.732            -nan        -nan             204              -3
  214         262.370    -281.337           0.000      -0.000             214            -nan
  227       -1132.021      98.860           0.000      -0.000             227               0
   70         595.750    1694.101          -0.000      -0.000              70               0
    6         569.708     -98.528          -0.000      -0.000               6              -0
  237        -860.958     725.381          -0.000      -0.000             237              -0
  219        -817.446   -1388.437           0.000      -0.000             219              -0
  223         936.104     734.889     -4019498648994490801874365320022458368.000      -0.000             223               0
   52         869.534     -80.130            -nan        -nan              52              -0
   20         388.124       6.245            -nan        -nan              20            -nan
  242        -153.878    -895.694            -nan        -nan             242            -nan
   53        1024.008     408.062            -nan        -nan              53            -nan
   22        1831.794     351.984          -0.000      -0.000              22            -nan
  238         140.062     613.849          -0.000       0.000             238               0
  120         765.294    -361.426          -0.000      -0.000             120               0
  117         626.489    1206.740          -0.000       0.000             117               0
   88          53.220     650.715           0.000       0.000              88               0
   85        -328.467    -182.473           0.000       0.000              85               0
  158        -383.559     333.028           0.000       0.000             158               0
  252         113.806     343.186           0.000       0.000             252               0
  163        1432.243     414.120           0.000       0.000             163               0
  106         172.537    -687.344           0.000       0.000             106               0
    4        -143.286    -424.987           0.000       0.000               4               0
  136       -2903.101    -425.569           0.000       0.000             136               0
   34           9.064     990.026            -nan        -nan              34               0
