SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
  213       32969.000       0.000            -nan        -nan             213            -nan
  227        -525.655     579.944            -nan        -nan             227            -nan
    3         207.559   -1318.468            -nan        -nan               3            -nan
   45        -358.732    1288.979            -nan        -nan              45            -nan
   32         540.909    -684.207            -nan        -nan              32            -nan
  255          33.117     114.176            -nan        -nan             255            -nan
  195         794.343     -67.810            -nan        -nan             195            -nan
   66        1223.770    1233.008            -nan        -nan              66            -nan
  213        -387.634     -94.797           0.000      -0.000             213            -nan
   10        -975.683     748.113            -nan        -nan              10               0
  122       -1913.007    1107.127            -nan        -nan             122            -nan
  151        1204.594    -757.590       -3504.080   -5921.938             151            -nan
    0        -868.038    2345.906        3687.512   -2396.983               0               0
   95        1400.658   -1092.943         -83.149       0.000              95               0
  255       -1192.866    -209.949            -nan        -nan             255               0
   43        -306.152    -239.432            -nan        -nan              43            -nan
   79        -994.674    -546.268            -nan        -nan              79            -nan
  185        2073.973    -869.999     -304854060850104909311224385471569580799332494188497236369050973015295143396050254276073635226219883822530516463061109206935754444482262987670598203037314787283552783881483988447903966906862636317325353083942465448004157011075167827479889711562992243978924204274279705153039988602102545483992495334359040.000 29532596493198199841820628790321597610205031878176457073500762265088500302956324189992073345392417290054973509048884648189807010289868083410057746294159584240884267713891795425806251216568431584753877051521404992127836664126610023610719006921618542209189363332457582724731908295061308550385612466683904.000             185            -nan
  207        -513.213   -1127.674            -nan        -nan             207               0
  226         468.560      41.357          23.935     -11.955             226            -nan
  104        -574.235    -619.847     -29680244476962599353798882699696099123530433505147682796408870897661847563979061288922260978149202747810651742087340758513005595389015623322054428968768883250256413961040224892163058480157365516131716052583835303422928889275807932258298561403615013112475392825320684796172196758803605094400.000 -71654531540065393575560901402531653024925657064213791536455032993958979587971287174841508576492610920582920518012518180906533174226922780068378774341181396246881626012217682910010383229771116623392376521450797082214476654062210237046350630861723944924505616465161778630561701074748177383424.000             104               0
  156       -1138.138     318.748           0.000       0.000             156               0
  190        -241.287    -213.488            -nan        -nan             190               0
   49        1079.510     785.004     -9846526503540559970905025283741184372292516446046893308491906768188973022255312660185879512870077467639170042399883052860182500067741156266575248940520552827599359066837255599674851327660099752302398907016602976256.000       0.000              49            -nan
   23        -703.079    1005.557           0.000       0.000              23              -0
   29        1916.138    1674.885        -248.186      -0.000              29              -0
  164        -440.563     548.432          -9.181     -78.855             164              -0
  199        -629.805    -564.902        -721.288     596.209             199               0
   13        -138.792    -442.119           0.000       0.000              13              -0
    7        -429.477     452.608            -nan        -nan               7              -0
  136         867.203       7.229            -nan        -nan             136            -nan
  227        -571.733    1473.660            -nan        -nan             227            -nan
  234        1295.993    -434.135           0.000      -0.000             234            -nan
  139          -9.261    -478.340            -nan        -nan             139              -0
   16        -321.662    -205.376          13.167      -0.000              16            -nan
   10         439.908    1834.284           0.000      -0.000              10               0
  138         421.108     340.542           0.000      -0.000             138              -0
  211        -285.410     161.436            -nan        -nan             211              -0
   77          -3.967    1552.065           0.000      -0.000              77            -nan
   96        1014.252     -14.184           0.000      -0.000              96              -0
  221        -581.855    -381.498          -0.000      -0.000             221              -0
  200        -607.782    1044.981          -0.000      -0.000             200              -0
  247        1198.562   -2139.294        -496.372      -0.000             247              -0
  221         722.486   -1970.893          -0.000      -0.000             221              -0
   39        -200.818   -1296.007          79.000      -0.000              39               0
  247         175.894      30.819            -nan        -nan             247               0
    9        1449.468     823.356            -nan        -nan               9            -nan
  119        1418.772    1242.985            -nan        -nan             119            -nan
  176         848.137    1112.433     -276822.315 -467833.107             176            -nan
  217        -467.238     -88.838            -nan        -nan             217             -14
   90         735.530    -322.895        1890.904    -944.423              90            -nan
   24         184.605   -2732.567     -777875593779704179096691767383869139033015618407543286803146438282770641112329372957492599311911404341400040860521358220906347063195268152453633952769225561297012565414397500282899551025780421780165873291920322592768.000      -0.000              24               0
  118        -506.224    -293.115      -55528.210   43334.628             118            -38613829425649256821530492726079928250677042495548260631983654180742309692582945155643498503832093833126446384225826812940321472316768113053710519180150342984273942398992192522155192133902960935381219978566959104
   24         559.788     772.896            -nan        -nan              24              -3
   74         156.649    1296.212           0.000      -0.000              74            -nan
  141         132.176    -359.468           0.000      -0.000             141               0
   53         759.831    1063.027          -0.000      -0.000              53               0
  238        1809.428    -124.225          -0.000      -0.000             238              -0
   84         636.354      53.933          -0.000      -0.000              84              -0
   67        -520.849    -898.523           0.000      -0.000              67              -0
  245       -1322.919   -1432.341     -4019498648994490801874365320022458368.000      -0.000             245               0
  220        -754.595    -590.837            -nan        -nan             220              -0
   38        -346.227    -523.610            -nan        -nan              38            -nan
  223       -1851.078    -832.293            -nan        -nan             223            -nan
  103        1094.074   -1530.950            -nan        -nan             103            -nan
   55        -652.594    -202.719          -0.000      -0.000              55            -nan
  234        -106.269     364.287          -0.000       0.000             234               0
  242        -627.050     503.729          -0.000      -0.000             242               0
   11        -212.550    1112.781          -0.000       0.000              11               0
   55         739.436    -855.093           0.000       0.000              55               0
   82        -166.455    -904.108           0.000       0.000              82               0
  233        -868.071    -664.898           0.000       0.000             233               0
  255         462.200     -42.078           0.000       0.000             255               0
   74        1100.394    -949.290           0.000       0.000              74               0
  199       -1206.392    -587.222           0.000       0.000             199               0
   39         196.117     -97.570           0.000       0.000              39               0
   66       -1003.793    -702.577           0.000       0.000              66               0
  209         645.343   -1935.070            -nan        -nan             209               0
  159         662.076    -779.965            -nan        -nan             159            -nan
  242       -1852.193    -567.942            -nan        -nan             242            -nan
  170         851.574   -1521.845            -nan        -nan             170            -nan
  249         533.536   -1718.933       -6568.782       0.000             249            -nan
   11       -1202.987      57.065     -24083470807158306755200256396783461475456043501706088335204824621015897786684490536385986366128296311865409798078307451475047128497333491569756254156892169559696319408624537849279010566763616416656432497368420517819664181888744118612091634562120324914736249981714618485942444813729932732566693170403868672.000 2333075122962659433928950741036813341220995469945840286137855496223536590484152245618869402285723355124700717359173260232141734314559340052711345824558206821037476545968781505544008389536478524537949255604645257106936666685513466423458169801996698442065906457298378546190161514137983653953457592486330368.000              11              -0
