SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
    1       62703.000       0.000            -nan        -nan               1            -nan
  134        -706.978    1394.735            -nan        -nan             134            -nan
   75        -658.323    1714.514            -nan        -nan              75            -nan
   12       -1278.854   -1343.769            -nan        -nan              12            -nan
  100         302.745     776.415            -nan        -nan             100            -nan
   92        1358.627    1537.027            -nan        -nan              92            -nan
  113        -167.807   -1375.833            -nan        -nan             113            -nan
   80         451.601     704.727            -nan        -nan              80            -nan
  124       -1374.016   -1404.059           0.000      -0.000             124            -nan
   53       -1159.046      84.819            -nan        -nan              53              -0
  227       -2422.695     325.095            -nan        -nan             227            -nan
   61         462.436     835.277       -3504.080   -5921.938              61            -nan
   53        1968.089     146.737            -nan        -nan              53              -0
   86         541.550     149.826            -nan        -nan              86            -nan
  129         807.780    1932.704            -nan        -nan             129            -nan
  187        -205.255     194.109            -nan        -nan             187            -nan
  239       -1604.312    1159.807            -nan        -nan             239            -nan
   90         509.008    -327.495     -304854060850104909311224385471569580799332494188497236369050973015295143396050254276073635226219883822530516463061109206935754444482262987670598203037314787283552783881483988447903966906862636317325353083942465448004157011075167827479889711562992243978924204274279705153039988602102545483992495334359040.000 29532596493198199841820628790321597610205031878176457073500762265088500302956324189992073345392417290054973509048884648189807010289868083410057746294159584240884267713891795425806251216568431584753877051521404992127836664126610023610719006921618542209189363332457582724731908295061308550385612466683904.000              90            -nan
    4        1207.059    -804.661            -nan        -nan               4               0
   15       -1339.895     156.100          23.935     -11.955              15            -nan
  246       -1569.030      74.714            -nan        -nan             246               0
  100       -1947.740    -556.332           0.000       0.000             100            -nan
   42         717.662     766.111            -nan        -nan              42               0
  194       -2643.954    1141.788     -9846526503540559970905025283741184372292516446046893308491906768188973022255312660185879512870077467639170042399883052860182500067741156266575248940520552827599359066837255599674851327660099752302398907016602976256.000       0.000             194            -nan
  206         166.161     650.910           0.000       0.000             206              -0
  129         451.202    -292.496        -282.743      -0.000             129               0
   43        1482.187    -740.768         -10.459     -89.835              43              -0
   46        -856.347    2521.126        -723.849     602.846              46               0
  110         923.479   -1110.988            -nan        -nan             110              -0
  160        2373.565   -1629.610            -nan        -nan             160            -nan
   77        -456.791    -393.547            -nan        -nan              77            -nan
  111        -459.733   -1332.614            -nan        -nan             111            -nan
   39         656.243     528.614            -nan        -nan              39            -nan
  152         560.018     218.287            -nan        -nan             152            -nan
  123       -2212.449     704.923          15.000      -0.000             123            -nan
  140        -318.807     386.502           0.000      -0.000             140               0
  245        1052.227     328.350            -nan        -nan             245               0
  237         131.252     533.812            -nan        -nan             237            -nan
  220         526.208     289.049           0.000      -0.000             220            -nan
  114        1025.912    1580.949           0.000      -0.000             114               0
   34         814.530    2229.055          -0.000      -0.000              34               0
  192         526.044    -412.597          -0.000      -0.000             192               0
  175        -792.057     583.790        -565.487      -0.000             175               0
   88        -111.145    -811.595          -0.000      -0.000              88              -0
   23        1173.129    1461.901            -nan        -nan              23               0
   49       -1187.354    -807.218            -nan        -nan              49            -nan
   19        -985.890    1581.039            -nan        -nan              19            -nan
    6        -607.963   -2153.876            -nan        -nan               6            -nan
  140        -799.445     605.084            -nan        -nan             140            -nan
   24        -542.712    -744.871            -nan        -nan              24            -nan
   21        -859.259    -677.010            -nan        -nan              21            -nan
  131        1680.777   -1881.785            -nan        -nan             131            -nan
  124         166.558    1905.958      -63259.986   49368.564             124            -nan
   63       -1410.061    -376.878            -nan        -nan              63              -0
   69        1339.703      38.576            -nan        -nan              69            -nan
   74        1142.511    -176.750           0.000      -0.000              74            -nan
  193        -105.779    1811.136          -0.000      -0.000             193               0
  113         316.195    2467.920          -0.000      -0.000             113              -0
  120       -1940.149    1005.650          -0.000      -0.000             120              -0
   47       -2014.928   -1733.854           0.000      -0.000              47              -0
   17        1119.140    -786.407            -nan        -nan              17               0
  198         686.097    1347.234            -nan        -nan             198            -nan
  158         602.352     279.946            -nan        -nan             158            -nan
   57         -13.471   -1189.926            -nan        -nan              57            -nan
   95        -680.541    1130.736            -nan        -nan              95            -nan
   26         143.510     791.822          -0.000      -0.000              26            -nan
  197         693.881    -744.671          -0.000       0.000             197               0
   85        1698.344   -1395.020          -0.000      -0.000              85               0
    7         254.609    1767.649          -0.000       0.000               7               0
  162        -190.608   -1501.677           0.000       0.000             162               0
  199        2892.469    -225.833           0.000       0.000             199               0
   42        1416.275    -384.426           0.000       0.000              42               0
   99         616.640     233.636           0.000       0.000              99               0
  119        1245.402     202.106           0.000       0.000             119               0
  130        1996.258     250.825           0.000       0.000             130               0
  122        1072.745     227.139           0.000       0.000             122               0
  169       -1939.360    -987.900           0.000      -0.000             169               0
  150       -1393.771    -106.065            -nan        -nan             150               0
  128         388.771     278.874            -nan        -nan             128            -nan
   53       -2187.972    1605.586            -nan        -nan              53            -nan
  174         452.282    -937.941            -nan        -nan             174            -nan
  150        1202.258    1254.035       -7479.844      -5.426             150            -nan
  184        -760.153    1499.829     -27436865476509487138493294559624487352115868115535415111925370923169363580678445085662806904918625224035279292582564196252539444442134677938838758553365812995382573252683438812735040413035237058558070969601077905287234444550948150121086680368408307575965297166205014342715691529229389356746910870630563840.000 2657933684387839946246948728238133777884050429864779613668518471603619846395688499235449001362443638054853447546932235927720075916503797226230384892878047733110622219647336220591318655422256648665611660175062739014861019223529714604684605770742777025146285655591999088306138777298852436386940999281147904.000             184               0
   42        -196.339     982.848          -0.000       0.000              42            -260629353042953575379500536218626730091706899171805182550322883043818592244290562491010547235138986285338827554900725957607072568921319465166390498724715162147720051146947621475892399825362092032
  214         731.404    2103.904          -0.000       0.000             214              -0
  254        -990.552    -724.302        1344.162   -8012.329             254              -0
  117        -281.544     256.422           0.000      -0.000             117               0
  151         953.073     252.073          -0.000      -0.000             151               0
  112       -1410.982     530.395          -0.000      -0.000             112              -0
  238         -69.528    2133.091           0.000      -0.000             238              -0
  198         628.532     475.526          -3.415      -1.719             198               0
  129         -70.087    -407.760         -17.024      34.880             129               0
  180       -2468.139    -452.762          -0.000      -0.000             180              -0
  101       -1476.220    2671.284            -nan        -nan             101              -0
  187        2360.316      33.490            -nan        -nan             187            -nan
   19       -1350.619    1207.281            -nan        -nan              19            -nan
  127        -856.877   -1058.923           0.000       0.000             127            -nan
  128         636.220    1654.819            -nan        -nan             128               0
  104        1689.925    2125.328         -11.052     -10.143             104            -nan
  135         -69.596    1417.406          -0.000       0.000             135              -0
   35        -370.051    -420.731           0.000       0.000              35               0
   48       -1081.930     502.897            -nan        -nan              48               0
  177         220.173    -623.750          -0.000      -0.000             177            -nan
  134        -659.050     364.495          -0.000      -0.000             134               0
  167       -1390.905   -2284.388          -0.000      -0.000             167               0
   52         695.095     553.654           0.000      -0.000              52               0
    0       -2149.361   -1049.378           0.000      -0.000              -0               0
   80        1275.841    1158.838          -4.348       7.676              80               0
  202         556.694    -464.883          78.991      42.221             202               0
  129        3037.975   -2274.950            -nan        -nan             129               0
  134        -267.968     -76.477            -nan        -nan             134            -nan
  121          22.555   -2333.745            -nan        -nan             121            -nan
   24       -1773.274    -855.807            -nan        -nan              24            -nan
   63        -128.666   -1154.148            -nan        -nan              63            -nan
  164       -1669.917    -270.678            -nan        -nan             164            -nan
  238        -646.932     360.205     -384014533638081808964885154417087605632625906278399612210922018855207586824161108442559565183144901032777431404070233472236877481133597343066939446674231094927733778675150064259046903891311513476669251066305009680384.000      -0.106             238            -nan
   62        -263.114    -741.127      -28230.127   23511.013              62            -19269132100862152822652532851887494859872934004327689906945640988600063823866407547428926740966544434388635481239881018721634736115692087096577932372642297638117835700824826120735729036844997618999689630900551680
   26        -728.351    -727.813            -nan        -nan              26              -1
  133        -574.015     621.101            -nan        -nan             133            -nan
  174        -448.070    1346.155           0.000      -0.000             174            -nan
    8         -61.203     -12.456          -0.000      -0.000               8               0
   76        -289.020     940.942            -nan        -nan              76              -0
   48        -390.074    -515.229     -34561308027427378881300526991942755742070461164185917437556018424966368111319275219631562842663534515238716480511071537314504008864890007990761203055144280714925562603939467042673408694501682014515859666794782308433920.000      -0.000              48            -nan
  189        -898.409    1782.041           0.000      -0.000             189            -1734221889077593623224430568206293228508891781750739224286459929143295414581368806060585812479790973197445067219916517231714826156313441426625472142261248501530299853998909145305024310058533136933803226686426185728
  177         421.245     634.170           0.000       4.416             177               0
  235         -35.645    1010.264            -nan        -nan             235               0
  208        1752.666     -63.705            -nan        -nan             208            -nan
   49        -342.397   -2602.657            -nan        -nan              49            -nan
  108        -562.011     110.974           0.000       0.000             108            -nan
   57        1733.532    -887.907            -nan        -nan              57               0
  184        -965.039      50.565           0.000       0.000             184            -nan
  143        -126.110    1013.243          -0.000      -0.000             143               0
  105          30.121    1165.822           0.000      -0.000             105              -0
  105        -509.969   -1123.161            -nan        -nan             105               0
   22        -250.687     616.985          -0.000       0.000              22            -nan
   17       -1376.558   -2923.778          -0.000      -0.000              17              -0
  158       -1181.845     209.615        -169.578     299.347             158              -0
   23       -1649.437    -672.222            -nan        -nan              23              -0
   97        1272.905     734.370         585.000      -4.123              97            -nan
  105        1101.956   -1030.750           0.000       0.000             105               0
  152        -958.882   -1399.760           0.000       0.000             152               0
  232         -63.790    1137.721            -nan        -nan             232               0
  227       -1456.030   -1998.026           0.000       0.000             227            -nan
  177        1069.176     728.779           0.000       0.000             177               0
   39       -1297.368     814.348           0.000       0.000              39               0
  135         -83.425    1455.130           0.000       0.000             135               0
  159       -1198.260    2449.135           0.000       0.000             159               0
  101        -742.497     622.692           0.000       0.000             101               0
  161         955.348   -1788.421           0.000       0.000             161               0
   37        -157.893     152.753           0.000       0.000              37               0
   19        -173.488   -1178.070           0.000       0.000              19               0
  170        2229.760     -95.708           0.000       0.000             170               0
  113        1458.590     -35.334           0.000       0.000             113               0
   68           5.851    1328.216           0.000       0.000              68               0
  103       -1348.164     807.188           0.000       0.000             103               0
   34        -159.192     131.393           0.000       0.000              34               0
   47         222.824    -949.158           0.000       0.000              47               0
   56        -247.771    1081.206            -nan        -nan              56               0
   83         830.394   -1472.338            -nan        -nan              83            -nan
  156        -858.379    1571.056     142591054325116346836883404920403030254978792440219993879543238469923346620734140233233020604420619809742678008443093469660255281190911830183698374182578679216445215808648189135632148276331218312112898243616432979968.000 356559887356563477284523171681253162199848550570086664036241115897630830243839782489416802793978978699971958588541440098907052644998007792216345353797974522417846528641586139486802161868330602133452339295016697462784.000             156            -nan
  113         537.416      75.680            -nan        -nan             113            7373970338904477076444391886520581281061955886102097308375048985501137581739508780010954576930624170325519807236393687623803491902850355339409268486717104803829969814716142347368269159882121074405176414362927104
   12       -1387.512   -1090.631          -0.000      -0.000              12            -nan
   44        -200.325     896.689            -nan        -nan              44              -0
  219       -1917.356   -2620.730          -0.000      -0.000             219            -nan
  118       -1829.137   -1419.223            -nan        -nan             118              -0
   66         723.439    -782.763           0.000       0.000              66            -nan
  236       -2056.185    -149.305            -nan        -nan             236               0
   20         727.348   -1832.636          -0.000       0.000              20            -nan
   89        -382.592    1284.369           0.000       0.000              89               0
   78         704.711    1348.125          -0.000       0.000              78               0
  125          66.855      24.533            -nan        -nan             125               0
  242        -974.561   -1220.120          -0.000      -0.000             242            -nan
   54        -184.301    -430.190            -nan        -nan              54              -0
   96        -107.253     410.563           0.000       0.000              96            -nan
  164          87.344    -166.911            -nan        -nan             164               0
   94       -2215.173    1243.868            -nan        -nan              94            -nan
  232        1547.628     505.645            -nan        -nan             232            -nan
   67        -345.718   -2018.370       -3242.816       0.000              67            -nan
  196        -252.878    1713.911     -11889308373154092414828572459172373841933966089287750702399517009608964388139949878968892356481374537986411419599447636541677649058311008810087887067194929690190130476910436050569592595741962139694991064224307749425247424136851357155074871152799953935721365789838081628677427046134103481085530559437864960.000 1151771263234730450497671306611542838422395426244969179831034781127044630844149717329085062504875631858471648355550921734518899150521754333737096538102584345825271055659246767366366939044449164895719787835215396590614487387332461120335870227214970076333277227933255184383662992057342936439816922765197312.000             196              -0
  138       -2021.161    -154.129           0.000       0.000             138            -596583289334843281012930013723496259314752906307260236814532213593596854734505606505250206090413530712045513687333125434343446216101430400974688661853919286611785971200034549480354373971459919053794053369865706677448564275141311423115182730459108954889841510729362645620471634691600231546854607683584
  104         210.002      10.169      -11026.988      -0.000             104               0
  215        -570.256     870.615            -nan        -nan             215              -1
   52        -995.350     213.989            -nan        -nan              52            -nan
  218        -299.048     104.364            -nan        -nan             218            -nan
   28        -975.425    -994.642          -0.000      -0.000              28            -nan
  155         111.122    -242.644            -nan        -nan             155              -0
  253        -762.765   -1370.724            -nan        -nan             253            -nan
   76         731.581   -2639.302            -nan        -nan              76            -nan
  211        -572.123    1376.975          -0.000      -0.000             211            -nan
   81         354.144     661.301            -nan        -nan              81              -0
  232       -2523.053     995.073      -73037.031  258228.171             232            -nan
   69         536.724   -1087.757        -985.621    -342.517              69              13
   93        2344.509    -124.824       36586.509    3336.935              93              -0
   21        -126.603    2600.798            -nan        -nan              21               0
   32       -2288.069      27.616     -291853.475       0.000              32            -nan
  211        -156.933    -663.036     25321478250182854262719015155073422347359208803210685054229346912870377749099508548985470629478069843455877806396028118860594701146811298181632141114360313626328504283183247344968197760644533332302107949377951763529728.000 23522473334924434606428137090604589531130362108539701676351430926862660642593125467893025535185323503384815488287714280303782253942177509647760782054980348639042725679026912437086742888217537347168771047621603660660736.000             211             -15
   87         442.792      69.924           0.000      -0.000              87            1284973077539655754862050216722251911500906994661622249652998245385821051651224160601543651010067529586187529745850481257079706195684141229811865259113352241626851981810391964746023003243637302263495385667506012160
   13          89.401    1418.009          -0.000       0.000              13               0
  231       -3017.084    1594.213           0.000       0.000             231              -0
  177        -177.352     -92.367           0.000       0.000             177               0
   92        -738.869   -1081.387          -0.000       0.000              92               0
