SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
  168        8029.000       0.000            -nan        -nan             168            -nan
  105        -679.005     976.156            -nan        -nan             105            -nan
  143         -63.965    -220.512            -nan        -nan             143            -nan
   23         539.910     -91.077            -nan        -nan              23            -nan
  141         480.195     336.895            -nan        -nan             141            -nan
   26        -339.339     -69.183     -1525642156829403504138346493725758293283527807665319467117719772397946643813094020964578234345198844493189313476984417604344495548633700120770299737650334112032609793377881312138047032271164095473542416865183997639679016346923509528009631642711954642408388581490716556400438634212259990077440.000 -845735553058090561678195253431814875490892657345015688967643379064512724928822384955665987104586258647259946521659183599428785326469182141006561069902911225451549954005627442259918587246769632749741530482985631728776472072948168212705033917590910462773771422082593922752600705793633434992640.000              26            -nan
  142         464.007    -212.511            -nan        -nan             142            424876780336652657055752471787817128879084423873037223329314993104547613077036132441314863832132945747220807856250307906313988312684271379339708707218942081983131649725014195639103961748035780872410252824347905329694486036480
  108           8.369     406.394            -nan        -nan             108            -nan
   84          32.583     596.045           0.000      -0.000              84            -nan
   36        -154.150    -725.113       -2660.772      -0.000              36               0
   66         658.668    -156.407            -nan        -nan              66              -1
   58         569.941     606.376           0.000      -0.000              58            -nan
  111         717.654     283.826          -0.000      34.442             111               0
  156       -1034.733       0.788         -83.149       0.000             156               0
   19       -1148.701     384.266           0.000      -0.000              19              -0
   11         830.497    -329.395            -nan        -nan              11              -0
  253        -222.001     -83.005           0.000      -0.000             253            -861874851098558203735048192
  188          26.783    -389.903     -304805734727798366826193022822415341026943276907994329948923256275959469065516242701512280091260797797834682666365991002639278008941273755121919362650310815758163718365964987381271124916027761188283578792033168458342263813308287416381162151395655216214808732357922230436408084531521213769851879297122304.000 30020637703483356472373567668265092865071485337773934964906857752189765317536072064214513009743067729246212007137092247937324748158607155909866862589361498669949649613612289600250002119220210696430993059163286733084659329113309649482656133376864104231380899380303563249334961787410275751983396750884864.000             188              -0
   23         -71.054     247.803            -nan      -0.000              23            4693679311954027960821672884750902982397872887899080645322741472145482047859736513596773602161722730005499300012294183642574947752473238299877374652709937504793777476601632642248853547514787738716425564743949140172014925993516683074767484156922781517760806238676209623696543682938406602133866956193792
   64         -21.291     183.966           0.000       0.033              64            -nan
    7         649.620     -30.797     19422912545753923741861023389592015896351580604555504174583044811635698586558849774610102175601239136149302469250077746903460413947481373369924099373507561633654432748580432483399500906141347837808958192531629873078441324896216982487873355587348889579045206120275872636808265203712.000 46891113066467685585453342898696093149574049559556770384109579865742624928114094919327016327512015852873740318087069630244480063876894474477417127916997950246131108830569085532398192472108655734064063031252562940848871400382954230101733570775002423064481831024669564722860785664000.000               7              -0
  214        -378.762    -239.593           0.000       0.000             214            79162897905699195589733459197409828731557359731752234513170035365101873004358168316092832493487578892735683366322192042891643192034953121511667225100635937629798914749276355852283631443245489668129049006930424318224954763462159736645072757654181999510814720
  188        -282.801     186.407           0.000      -0.000             188               0
  123        -724.945     -17.917           0.000      -0.000             123              -0
   54         373.414      70.048           0.000      -0.000              54              -0
   70        -568.431    -488.677          -0.000       0.000              70               0
  199        -248.044       6.086           0.000       0.000             199              -0
  103         183.063    -195.422          -0.000       0.000             103               0
   16         352.524     -69.724           0.000      -0.000              16              -0
  148         217.471      30.960         -31.385       0.000             148              -0
  158         715.876     598.802           0.000       0.000             158              -0
  184         148.640     -75.469            -nan        -nan             184               0
  254         659.000       0.008           0.000       0.000             254               0
   45         148.635      75.460           0.000       0.000              45               0
  207         715.895    -598.780           0.000       0.000             207               0
  140         217.459     -30.948           0.000       0.000             140               0
   71         352.507      69.739           0.000       0.000              71               0
   93         183.035     195.427           0.000       0.000              93               0
  248        -248.062      -6.099           0.000       0.000             248               0
  155        -568.455     488.645           0.000       0.000             155               0
  129         373.411     -70.046           0.000       0.000             129               0
   59        -724.952      17.876           0.000       0.000              59               0
  214        -282.785    -186.425           0.000       0.000             214               0
  241        -378.755     239.570           0.000       0.000             241               0
  215         649.629      30.811           0.000       0.000             215               0
  234         -21.285    -183.978           0.000       0.000             234               0
  252         -71.040    -247.807           0.000       0.000             252               0
  212          26.770     389.900           0.000       0.000             212               0
  166        -221.996      82.985           0.000       0.000             166               0
   20         830.476     329.412           0.000       0.000              20               0
   21       -1148.692    -384.330           0.000       0.000              21               0
  174       -1034.699      -0.843           0.000       0.000             174               0
  234         717.705    -283.809           0.000       0.000             234               0
  210         569.984    -606.352           0.000       0.000             210               0
   42         658.665     156.442           0.000       0.000              42               0
   33        -154.177     725.092           0.000       0.000              33               0
   24          32.620    -596.062           0.000       0.000              24               0
  241           8.404    -406.393           0.000       0.000             241               0
  137         464.012     212.531           0.000       0.000             137               0
   40        -339.321      69.159           0.000       0.000              40               0
  134         480.239    -336.880           0.000       0.000             134               0
   39         539.929      91.098           0.000       0.000              39               0
  224         -63.941     220.495           0.000       0.000             224               0
  132        -678.864    -976.186           0.000       0.000             132               0
