SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
  150       14951.000       0.000            -nan        -nan             150            -nan
  163         550.142      77.529            -nan        -nan             163            -nan
  183         178.972     831.542            -nan        -nan             183            -nan
   49         645.507     229.722            -nan        -nan              49            -nan
  167        -562.688    -518.383            -nan        -nan             167            -nan
  116         528.660     159.683            -nan        -nan             116            -nan
   96        -102.671     604.136            -nan        -nan              96            -nan
  182        -415.529     -71.424            -nan        -nan             182            -nan
   69         813.613     302.373           0.000      -0.000              69            -nan
  113         -96.260     -13.968            -nan        -nan             113               0
  151        -853.347     204.510            -nan        -nan             151            -nan
   22        -511.887    -882.504         -84.790    -153.244              22            -nan
   81         -25.429    -586.266          95.616     -24.393              81               0
  136         -77.758    -436.114         -83.149       0.000             136               0
  248        1178.070     281.331           0.000      -0.000             248              -0
  135         -10.467     817.001            -nan        -nan             135              -0
   14        -626.574    -762.718           0.000      -0.000              14            -nan
   53        -162.583    -393.754     -304854060850104909311224385471569580799332494188497236369050973015295143396050254276073635226219883822530516463061109206935754444482262987670598203037314787283552783881483988447903966906862636317325353083942465448004157011075167827479889711562992243978924204274279705153039988602102545483992495334359040.000 29532596493198199841820628790321597610205031878176457073500762265088500302956324189992073345392417290054973509048884648189807010289868083410057746294159584240884267713891795425806251216568431584753877051521404992127836664126610023610719006921618542209189363332457582724731908295061308550385612466683904.000              53              -0
  163          45.444     608.863            -nan       0.000             163            -227285465682110174452968624143444549351581776321116588999084831545150649701931789242923201168152242895470138309486542004103005726252579199697277956921549848204149749674630001317937248864816213856426517072170489721276226758849708687360
  210        1022.498     682.069           3.723      -1.781             210            -nan
  149         105.816    -990.370     -29680244476962599353798882699696099123530433505147682796408870897661847563979061288922260978149202747810651742087340758513005595389015623322054428968768883250256413961040224892163058480157365516131716052583835303422928889275807932258298561403615013112475392825320684796172196758803605094400.000 -71654531540065393575560901402531653024925657064213791536455032993958979587971287174841508576492610920582920518012518180906533174226922780068378774341181396246881626012217682910010383229771116623392376521450797082214476654062210237046350630861723944924505616465161778630561701074748177383424.000             149               0
    9         685.195   -1060.519           0.000      -0.000               9            -26231528695953471850315038514023104476367843639940909095989565169296016370407068796711873955670206012679612726914986724508086830199542703974993682126205907206284211267582981382209784247825841840408290648499302697934695183627612596510327512298946560
   47        -110.489     337.004           0.000       0.000              47               0
   12        -956.472    -131.653           0.000      -0.000              12              -0
  119         262.855     512.937           0.000       0.000             119               0
   46        -417.133     459.042           0.000      -0.000              46              -0
  194        -781.395     196.168           0.000      -0.000             194               0
  129         963.876     188.821        -109.338      85.328             129              -0
  115         684.771    -416.499           0.000       0.000             115              -0
   89        -642.214    -826.274         -72.216     -13.848              89              -0
   16        -717.840    -648.787            -nan        -nan              16               0
    9        -412.975    -281.522            -nan        -nan               9            -nan
  252         356.020    -894.988           0.000      -0.000             252            -nan
  199        -414.926     635.450           0.000      -0.000             199              -0
   58        -269.926     -55.340          -0.000      -0.000              58              -0
  163         -32.704    -983.671           0.000      -0.000             163              -0
   60         938.842    -232.557           0.000      -0.000              60              -0
  155         668.883    -523.917          -0.000      -0.000             155              -0
   89         281.073      67.170           0.000      -0.000              89              -0
  130         491.013     510.897           0.000      -0.000             130              -0
   12         360.595     195.326          -0.000      -0.000              12              -0
  241        -601.760    -520.370          -0.000      -0.000             241              -0
  152        -763.712    -121.845           0.000      -0.000             152              -0
   93         300.468    -220.035          -0.000      -0.000              93              -0
  121         602.730     211.553           0.000      -0.000             121              -0
  145        -908.647    -304.385           0.000      -0.000             145              -0
  229        -473.297     282.407           0.000      -0.000             229              -0
  136        -690.558    -347.834          -0.000      -0.000             136              -0
  199        1060.600    -392.659           0.000      -0.000             199              -0
  136        -244.240     728.823           0.000      -0.000             136              -0
   91        -131.338     171.452          -0.000      -0.000              91              -0
   92         480.564     458.545          -0.000      -0.000              92              -0
  145         130.894    1234.089           0.000      -0.000             145              -0
  138         584.358     244.633           0.000      -0.000             138              -0
  105        -720.862     335.000          -0.000      -0.000             105              -0
    9         144.734     -67.375          -0.000      -0.000               9              -0
  185         270.924    -695.234          -0.000      -0.000             185              -0
   44         -30.131     475.960          -0.000      -0.000              44              -0
  138        -428.160     165.455           0.000      -0.000             138              -0
   44         933.070     118.684          -0.000      -0.000              44              -0
  133        -178.942   -1100.010     -4019498648994490801874365320022458368.000      -0.000             133              -0
  154          -6.477     936.238           0.000       0.000             154            -12683301
   53         -42.573     198.580          -0.000       0.000              53               0
  129         297.647     386.371           0.000      -0.000             129              -0
   98         -43.000      -0.025           0.000       0.000              98               0
  112         297.677    -386.381           0.000       0.000             112               0
   37         -42.563    -198.609           0.000       0.000              37               0
  159          -6.398    -936.224           0.000       0.000             159               0
   11        -179.017    1099.998           0.000       0.000              11               0
  127         933.073    -118.645           0.000       0.000             127               0
   33        -428.167    -165.517           0.000       0.000              33               0
   24         -30.084    -475.965           0.000       0.000              24               0
  112         270.866     695.244           0.000       0.000             112               0
  186         144.711      67.338           0.000       0.000             186               0
  117        -720.822    -335.104           0.000       0.000             117               0
  234         584.400    -244.629           0.000       0.000             234               0
   75         130.998   -1234.094           0.000       0.000              75               0
   91         480.591    -458.484           0.000       0.000              91               0
  114        -131.342    -171.450           0.000       0.000             114               0
   18        -244.170    -728.812           0.000       0.000              18               0
  227        1060.543     392.785           0.000       0.000             227               0
  205        -690.631     347.778           0.000       0.000             205               0
  111        -473.283    -282.442           0.000       0.000             111               0
  117        -908.641     304.316           0.000       0.000             117               0
   88         602.782    -211.497           0.000       0.000              88               0
  217         300.436     220.072           0.000       0.000             217               0
  126        -763.725     121.788           0.000       0.000             126               0
   17        -601.756     520.308           0.000       0.000              17               0
    5         360.666    -195.319           0.000       0.000               5               0
    9         491.086    -510.848           0.000       0.000               9               0
   61         281.102     -67.113           0.000       0.000              61               0
  139         668.854     523.996           0.000       0.000             139               0
  163         938.798     232.649           0.000       0.000             163               0
  115         -32.830     983.657           0.000       0.000             115               0
   13        -269.955      55.281           0.000       0.000              13               0
    6        -414.872    -635.475           0.000       0.000               6               0
  228         355.939     895.035           0.000       0.000             228               0
   50        -413.018     281.480           0.000       0.000              50               0
  165        -717.884     648.718           0.000       0.000             165               0
  239        -642.229     826.183           0.000       0.000             239               0
  177         684.787     416.494           0.000       0.000             177               0
  199         963.876    -188.799           0.000       0.000             199               0
    7        -781.400    -196.277           0.000       0.000               7               0
   33        -417.069    -459.105           0.000       0.000              33               0
  129         262.912    -512.915           0.000       0.000             129               0
  125        -956.454     131.580           0.000       0.000             125               0
   11        -110.390    -336.991           0.000       0.000              11               0
  205         685.156    1060.587           0.000       0.000             205               0
  217         105.770     990.320           0.000       0.000             217               0
  126        1022.569    -682.043           0.000       0.000             126               0
  224          45.481    -608.860           0.000       0.000             224               0
  188        -162.617     393.749           0.000       0.000             188               0
   76        -626.607     762.626           0.000       0.000              76               0
   79         -10.334    -817.037           0.000       0.000              79               0
   50        1178.119    -281.217           0.000       0.000              50               0
  164         -77.803     436.123           0.000       0.000             164               0
   40         -25.475     586.256           0.000       0.000              40               0
  177        -511.947     882.414           0.000       0.000             177               0
  181        -853.272    -204.639           0.000       0.000             181               0
   46         -96.170      13.917           0.000       0.000              46               0
  186         813.699    -302.340           0.000       0.000             186               0
  243        -415.482      71.355           0.000       0.000             243               0
  185        -102.529    -604.169           0.000       0.000             185               0
   94         528.761    -159.637           0.000       0.000              94               0
  102        -562.614     518.314           0.000       0.000             102               0
  198         645.688    -229.712           0.000       0.000             198               0
  101         179.251    -831.538           0.000       0.000             101               0
   74         550.548     -77.469           0.000       0.000              74               0
