SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
   71       62782.000       0.000            -nan        -nan              71            -nan
   72        1166.811    -491.090            -nan        -nan              72            -nan
  140       -2165.592   -1428.932            -nan        -nan             140            -nan
    9        -469.193     140.105            -nan        -nan               9            -nan
  250       -1326.264      95.894            -nan        -nan             250            -nan
   98       -2646.498    1382.348            -nan        -nan              98            -nan
   88        -247.285    -191.103            -nan        -nan              88            -nan
    6       -2050.207   -2770.064            -nan        -nan               6            -nan
   59        -151.751   -2068.117           0.000      -0.000              59            -nan
   77        1012.818    -470.215            -nan        -nan              77              -0
   54        -384.110    1319.271            -nan        -nan              54            -nan
  142        -171.965    -796.620       -3504.080   -5921.938             142            -nan
  228        1190.957    1091.298            -nan        -nan             228               0
  158       -1803.990    -511.288            -nan        -nan             158            -nan
   11       -1521.635    -144.143            -nan        -nan              11            -nan
  122       -1404.136   -2254.523            -nan        -nan             122            -nan
   87        -899.630    1232.968            -nan        -nan              87            -nan
  193        -250.828   -1513.392     -304854060850104909311224385471569580799332494188497236369050973015295143396050254276073635226219883822530516463061109206935754444482262987670598203037314787283552783881483988447903966906862636317325353083942465448004157011075167827479889711562992243978924204274279705153039988602102545483992495334359040.000 29532596493198199841820628790321597610205031878176457073500762265088500302956324189992073345392417290054973509048884648189807010289868083410057746294159584240884267713891795425806251216568431584753877051521404992127836664126610023610719006921618542209189363332457582724731908295061308550385612466683904.000             193            -nan
  255        -989.036     371.957            -nan        -nan             255               0
   75        1037.173     833.553          23.935     -11.955              75            -nan
  190         982.409     838.724            -nan        -nan             190               0
  194        -467.531    -279.849           0.000       0.000             194            -nan
  189        1412.717     134.666            -nan        -nan             189               0
  252         140.994    1943.591     -9846526503540559970905025283741184372292516446046893308491906768188973022255312660185879512870077467639170042399883052860182500067741156266575248940520552827599359066837255599674851327660099752302398907016602976256.000       0.000             252            -nan
  146        1912.226    2591.585           0.000       0.000             146              -0
   35        2179.535     102.581        -282.743      -0.000              35              -0
  128         167.692     592.093         -10.459     -89.835             128              -0
   23        -212.756    -478.774        -723.849     602.846              23               0
  190       -1176.145     504.892            -nan        -nan             190              -0
  107        -534.885   -1307.256            -nan        -nan             107            -nan
   36       -2719.750   -1562.627            -nan        -nan              36            -nan
    6        1379.531     366.606            -nan        -nan               6            -nan
  180         -16.163   -1145.421            -nan        -nan             180            -nan
  176       -1376.485    -451.237            -nan        -nan             176            -nan
   15       -1492.814   -1144.416          15.000      -0.000              15            -nan
  175        1548.135    -422.156           0.000      -0.000             175               0
   19        1354.939     182.935            -nan        -nan              19              -0
  103        -437.140    -904.815            -nan        -nan             103            -nan
  181         395.715     118.633           0.000      -0.000             181            -nan
   79        -425.830    -161.284           0.000      -0.000              79              -0
  181       -1969.683   -1294.680          -0.000      -0.000             181               0
  235        1862.809     211.375          -0.000      -0.000             235              -0
  221        -204.737    -706.196        -565.487      -0.000             221               0
  154        1009.214   -2379.787          -0.000      -0.000             154              -0
  138        -531.825    1242.005            -nan        -nan             138               0
  233         955.440     989.558            -nan        -nan             233            -nan
   20         307.627     884.111            -nan        -nan              20            -nan
  226        1930.825     893.817            -nan        -nan             226            -nan
  170        -175.838   -1786.008            -nan        -nan             170            -nan
   19         641.889    -576.224            -nan        -nan              19            -nan
   46          13.523   -2041.950            -nan        -nan              46            -nan
  104        2551.939    -112.543            -nan        -nan             104            -nan
  214        1220.374     488.743      -63259.986   49368.564             214            -nan
  235        -467.670     162.667            -nan        -nan             235              -0
  101        -534.896    -353.157            -nan        -nan             101            -nan
  105         -14.019     382.824           0.000      -0.000             105            -nan
   14       -1271.702    -769.729          -0.000      -0.000              14               0
  229        1239.791     493.643          -0.000      -0.000             229              -0
  129       -1248.597    -579.050          -0.000      -0.000             129              -0
  205       -1034.741    1303.625           0.000      -0.000             205              -0
   80        1521.320     212.057            -nan        -nan              80               0
  165        -113.928    -783.479            -nan        -nan             165            -nan
  212       -2071.134     725.405            -nan        -nan             212            -nan
    5         820.893    -100.108            -nan        -nan               5            -nan
   86        1225.073    -734.135            -nan        -nan              86            -nan
  228       -2682.125    -876.632          -0.000      -0.000             228            -nan
  180        1795.610    1293.632          -0.000       0.000             180               0
